SubRegion,Acholi,Ankole,Bugishu,Bukedi,Bunyoro,Busoga,South Buganda,North Buganda,Kampala,Karamoja,Kigezi,Lango,Teso,Tooro,West Nile
Acholi,0,0.29738902300000003,0.211106077,0.14605027400000004,0.139023632,0.08147865500000001,0.269383967,0.210002408,0.31372346,0.012263358000000002,0.312980466,0.028625190000000023,0.025987953000000008,0.241681263,0.14620623
Ankole,0.29738902300000003,0,0.08628294600000001,0.151338749,0.15836539100000002,0.21591036800000002,0.028005056000000014,0.08738661500000001,0.016334436999999993,0.28512566500000003,0.015591442999999996,0.268763833,0.27140107,0.05570776000000001,0.15118279300000004
Bugishu,0.211106077,0.08628294600000001,0,0.06505580299999997,0.072082445,0.129627422,0.05827789,0.0011036690000000016,0.102617383,0.198842719,0.10187438900000001,0.18248088699999998,0.185118124,0.030575186000000004,0.06489984700000001
Bukedi,0.14605027400000004,0.151338749,0.06505580299999997,0,0.007026642000000027,0.06457161900000002,0.12333369299999997,0.06395213399999997,0.16767318599999997,0.13378691600000003,0.16693019199999998,0.11742508400000001,0.12006232100000003,0.09563098899999997,1.5595599999995713e-4
Bunyoro,0.139023632,0.15836539100000002,0.072082445,0.007026642000000027,0,0.057544977,0.130360335,0.070978776,0.174699828,0.126760274,0.173956834,0.11039844199999999,0.113035679,0.102657631,0.0071825979999999845
Busoga,0.08147865500000001,0.21591036800000002,0.129627422,0.06457161900000002,0.057544977,0,0.187905312,0.128523753,0.232244805,0.06921529700000001,0.231501811,0.05285346499999999,0.055490702,0.160202608,0.06472757499999998
South Buganda,0.269383967,0.028005056000000014,0.05827789,0.12333369299999997,0.130360335,0.187905312,0,0.059381559,0.04433949300000001,0.257120609,0.04359649900000001,0.24075877699999998,0.243396014,0.027702703999999995,0.12317773700000001
North Buganda,0.210002408,0.08738661500000001,0.0011036690000000016,0.06395213399999997,0.070978776,0.128523753,0.059381559,0,0.10372105200000001,0.19773905,0.10297805800000001,0.18137721799999998,0.184014455,0.031678855000000006,0.06379617800000001
Kampala,0.31372346,0.016334436999999993,0.102617383,0.16767318599999997,0.174699828,0.232244805,0.04433949300000001,0.10372105200000001,0,0.301460102,7.429939999999968e-4,0.28509827,0.287735507,0.072042197,0.16751723000000002
Karamoja,0.012263358000000002,0.28512566500000003,0.198842719,0.13378691600000003,0.126760274,0.06921529700000001,0.257120609,0.19773905,0.301460102,0,0.300717108,0.01636183200000002,0.013724595000000006,0.229417905,0.133942872
Kigezi,0.312980466,0.015591442999999996,0.10187438900000001,0.16693019199999998,0.173956834,0.231501811,0.04359649900000001,0.10297805800000001,7.429939999999968e-4,0.300717108,0,0.284355276,0.286992513,0.071299203,0.16677423600000002
Lango,0.028625190000000023,0.268763833,0.18248088699999998,0.11742508400000001,0.11039844199999999,0.05285346499999999,0.24075877699999998,0.18137721799999998,0.28509827,0.01636183200000002,0.284355276,0,0.0026372370000000145,0.21305607299999998,0.11758103999999997
Teso,0.025987953000000008,0.27140107,0.185118124,0.12006232100000003,0.113035679,0.055490702,0.243396014,0.184014455,0.287735507,0.013724595000000006,0.286992513,0.0026372370000000145,0,0.21569331,0.12021827699999998
Tooro,0.241681263,0.05570776000000001,0.030575186000000004,0.09563098899999997,0.102657631,0.160202608,0.027702703999999995,0.031678855000000006,0.072042197,0.229417905,0.071299203,0.21305607299999998,0.21569331,0,0.09547503300000001
West Nile,0.14620623,0.15118279300000004,0.06489984700000001,1.5595599999995713e-4,0.0071825979999999845,0.06472757499999998,0.12317773700000001,0.06379617800000001,0.16751723000000002,0.133942872,0.16677423600000002,0.11758103999999997,0.12021827699999998,0.09547503300000001,0
